timestamp,symbol,base_currency,CoinGecko,Binance,Coinbase,average,spread,spread_pct
2025-12-31 20:14:03,SOL,USD,,125.13,124.945,125.03750000,0.18500000,0.1480
2025-12-31 20:14:20,SOL,USD,,125.14,124.95,125.04500000,0.19000000,0.1519
2025-12-31 20:14:37,SOL,USD,,125.13,124.93,125.03000000,0.20000000,0.1600
2025-12-31 20:14:53,SOL,USD,,125.05,124.925,124.98750000,0.12500000,0.1000
2025-12-31 20:15:10,SOL,USD,,125.01,124.865,124.93750000,0.14500000,0.1161
2025-12-31 20:15:26,SOL,USD,,125.0,124.83,124.91500000,0.17000000,0.1361
2025-12-31 20:15:43,SOL,USD,,125.02,124.82,124.92000000,0.20000000,0.1601
2025-12-31 20:15:59,SOL,USD,,125.0,124.815,124.90750000,0.18500000,0.1481
2025-12-31 20:16:15,SOL,USD,,125.02,124.82,124.92000000,0.20000000,0.1601
2025-12-31 20:16:32,SOL,USD,,125.0,124.83,124.91500000,0.17000000,0.1361
2025-12-31 20:16:48,SOL,USD,,125.02,124.81,124.91500000,0.21000000,0.1681
2025-12-31 20:17:05,SOL,USD,,125.02,124.82,124.92000000,0.20000000,0.1601
2025-12-31 20:17:21,SOL,USD,,125.01,124.82,124.91500000,0.19000000,0.1521
2025-12-31 20:17:37,SOL,USD,,124.95,124.82,124.88500000,0.13000000,0.1041
2025-12-31 20:17:54,SOL,USD,,124.96,124.77,124.86500000,0.19000000,0.1522
2025-12-31 20:18:10,SOL,USD,,124.94,124.775,124.85750000,0.16500000,0.1322
2025-12-31 20:18:27,SOL,USD,,124.98,124.765,124.87250000,0.21500000,0.1722
2025-12-31 20:18:43,SOL,USD,,124.99,124.77,124.88000000,0.22000000,0.1762
2025-12-31 20:19:00,SOL,USD,,125.03,124.805,124.91750000,0.22500000,0.1801
2025-12-31 20:19:16,SOL,USD,,125.04,124.86,124.95000000,0.18000000,0.1441
2025-12-31 20:19:32,SOL,USD,,125.03,124.835,124.93250000,0.19500000,0.1561
2025-12-31 20:19:49,SOL,USD,,125.02,124.85,124.93500000,0.17000000,0.1361
2025-12-31 20:20:05,SOL,USD,124.88,125.05,124.83,124.92000000,0.22000000,0.1761
2025-12-31 20:20:21,SOL,USD,,125.11,124.865,124.98750000,0.24500000,0.1960
2025-12-31 20:20:38,SOL,USD,,125.12,124.925,125.02250000,0.19500000,0.1560
2025-12-31 20:20:55,SOL,USD,,125.1,124.925,125.01250000,0.17500000,0.1400
2025-12-31 20:21:11,SOL,USD,,125.01,124.9,124.95500000,0.11000000,0.0880
2025-12-31 20:21:28,SOL,USD,,125.01,124.825,124.91750000,0.18500000,0.1481
2025-12-31 20:21:45,SOL,USD,,125.02,124.825,124.92250000,0.19500000,0.1561
2025-12-31 20:22:01,SOL,USD,,124.96,124.825,124.89250000,0.13500000,0.1081
2025-12-31 20:22:17,SOL,USD,,124.97,124.765,124.86750000,0.20500000,0.1642
2025-12-31 20:22:34,SOL,USD,124.87,124.96,124.78,124.87000000,0.18000000,0.1441
2025-12-31 20:22:50,SOL,USD,,124.86,124.765,124.81250000,0.09500000,0.0761
2025-12-31 20:23:07,SOL,USD,,124.86,124.66,124.76000000,0.20000000,0.1603
2025-12-31 20:23:24,SOL,USD,,124.91,124.655,124.78250000,0.25500000,0.2044
2025-12-31 20:23:40,SOL,USD,124.84,124.93,124.7,124.82333333,0.23000000,0.1843
2025-12-31 20:23:56,SOL,USD,,124.97,124.745,124.85750000,0.22500000,0.1802
2025-12-31 20:24:13,SOL,USD,,125.03,124.79,124.91000000,0.24000000,0.1921
2025-12-31 20:24:30,SOL,USD,,125.06,124.83,124.94500000,0.23000000,0.1841
2025-12-31 20:24:46,SOL,USD,124.81,125.0,124.83,124.88000000,0.19000000,0.1521
2025-12-31 20:25:02,SOL,USD,,124.96,124.83,124.89500000,0.13000000,0.1041
2025-12-31 20:25:19,SOL,USD,,124.94,124.755,124.84750000,0.18500000,0.1482
2025-12-31 20:25:36,SOL,USD,,124.9,124.73,124.81500000,0.17000000,0.1362
2025-12-31 20:25:52,SOL,USD,,124.85,124.695,124.77250000,0.15500000,0.1242
2025-12-31 20:26:08,SOL,USD,,124.81,124.64,124.72500000,0.17000000,0.1363
2025-12-31 20:26:25,SOL,USD,,124.87,124.625,124.74750000,0.24500000,0.1964
2025-12-31 20:26:42,SOL,USD,,124.89,124.685,124.78750000,0.20500000,0.1643
2025-12-31 20:26:58,SOL,USD,,124.9,124.685,124.79250000,0.21500000,0.1723
2025-12-31 20:27:15,SOL,USD,124.8,124.9,124.7,124.80000000,0.20000000,0.1603
2025-12-31 20:27:31,SOL,USD,,124.92,124.7,124.81000000,0.22000000,0.1763
2025-12-31 20:27:47,SOL,USD,,124.95,124.72,124.83500000,0.23000000,0.1842
2025-12-31 20:28:04,SOL,USD,,124.95,124.715,124.83250000,0.23500000,0.1883
2025-12-31 20:28:20,SOL,USD,,124.96,124.72,124.84000000,0.24000000,0.1922
2025-12-31 20:28:37,SOL,USD,,124.97,124.74,124.85500000,0.23000000,0.1842
2025-12-31 20:28:53,SOL,USD,,124.98,124.74,124.86000000,0.24000000,0.1922
2025-12-31 20:29:10,SOL,USD,,124.98,124.775,124.87750000,0.20500000,0.1642
2025-12-31 20:29:26,SOL,USD,,124.98,124.79,124.88500000,0.19000000,0.1521
2025-12-31 20:29:42,SOL,USD,,124.96,124.79,124.87500000,0.17000000,0.1361
2025-12-31 20:30:00,SOL,USD,,124.94,124.76,124.85000000,0.18000000,0.1442
2025-12-31 20:30:17,SOL,USD,,124.93,124.745,124.83750000,0.18500000,0.1482
2025-12-31 20:30:33,SOL,USD,,124.93,124.74,124.83500000,0.19000000,0.1522
2025-12-31 20:30:49,SOL,USD,124.76,124.94,124.74,124.81333333,0.20000000,0.1602
