
============================================================
  🤖 Telegram Alert Bot Started
============================================================
  Asset: BTC/USD
  Interval: 15s
  Spread threshold: 0.2%
  Change alert: 2.0% in 5min
  Cooldown: 300s
  Status updates: Every 30s
============================================================
  Press Ctrl+C to stop
============================================================

  [20:02:17] $87,695.46 | Spread: 0.152% | Alerts: 0 📤
  [20:02:34] $87,692.97 | Spread: 0.157% | Alerts: 0
  [20:02:51] $87,708.43 | Spread: 0.179% | Alerts: 0 📤
  [20:03:08] $87,700.70 | Spread: 0.164% | Alerts: 0
  [20:03:25] $87,722.06 | Spread: 0.164% | Alerts: 0 📤
  [20:03:42] $87,729.70 | Spread: 0.141% | Alerts: 0
  [20:03:58] $87,720.88 | Spread: 0.153% | Alerts: 0 📤
  [20:04:15] $87,709.66 | Spread: 0.128% | Alerts: 0
  [20:04:32] $87,706.45 | Spread: 0.163% | Alerts: 0 📤
  [20:04:49] $87,722.40 | Spread: 0.161% | Alerts: 0
  [20:05:05] $87,720.68 | Spread: 0.157% | Alerts: 0 📤
  [20:05:22] $87,702.35 | Spread: 0.098% | Alerts: 0
  [20:05:39] $87,671.71 | Spread: 0.150% | Alerts: 0 📤
  [20:05:55] $87,681.55 | Spread: 0.150% | Alerts: 0
  [20:06:12] $87,666.13 | Spread: 0.141% | Alerts: 0 📤
  [20:06:29] $87,669.57 | Spread: 0.133% | Alerts: 0
  [20:06:45] $87,666.64 | Spread: 0.157% | Alerts: 0 📤
  [20:07:02] $87,664.24 | Spread: 0.144% | Alerts: 0
  [20:07:19] $87,679.08 | Spread: 0.159% | Alerts: 0 📤
  [20:07:36] $87,677.68 | Spread: 0.162% | Alerts: 0
  [20:07:52] $87,701.82 | Spread: 0.190% | Alerts: 0 📤
  [20:08:09] $87,726.89 | Spread: 0.166% | Alerts: 0
  [20:08:25] $87,695.10 | Spread: 0.198% | Alerts: 0 📤
  [20:08:43] $87,735.31 | Spread: 0.156% | Alerts: 0
  [20:08:59] $87,742.44 | Spread: 0.157% | Alerts: 0 📤
  [20:09:16] $87,756.03 | Spread: 0.170% | Alerts: 0
  [20:09:33] $87,711.74 | Spread: 0.195% | Alerts: 0 📤
  [20:09:50] $87,720.78 | Spread: 0.150% | Alerts: 0
  [20:10:06] $87,714.01 | Spread: 0.112% | Alerts: 0 📤
  [20:10:23] $87,698.19 | Spread: 0.190% | Alerts: 0
  [20:10:40] $87,699.81 | Spread: 0.152% | Alerts: 0 📤
  [20:10:57] $87,733.56 | Spread: 0.163% | Alerts: 0
  [20:11:13] $87,748.77 | Spread: 0.173% | Alerts: 0 📤
  [20:11:29] $87,754.72 | Spread: 0.143% | Alerts: 0
  [20:11:46] $87,744.42 | Spread: 0.153% | Alerts: 0 📤
  [20:12:03] $87,733.82 | Spread: 0.173% | Alerts: 0
  [20:12:19] $87,776.38 | Spread: 0.167% | Alerts: 0 📤
  [20:12:36] $87,786.13 | Spread: 0.145% | Alerts: 0
  [20:12:53] $87,784.94 | Spread: 0.158% | Alerts: 0 📤
  [20:13:09] $87,803.00 | Spread: 0.153% | Alerts: 0
  [20:13:26] $87,760.23 | Spread: 0.149% | Alerts: 0 📤
  [20:13:43] $87,785.26 | Spread: 0.119% | Alerts: 0
  [20:13:59] $87,766.82 | Spread: 0.141% | Alerts: 0 📤
  [20:14:16] $87,760.22 | Spread: 0.157% | Alerts: 0
  [20:14:33] $87,752.14 | Spread: 0.135% | Alerts: 0 📤
